Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,TotalIncome,Loan_Status,Credit_Score,DTI,LTI,Risk_Category,Default_Probability
LP001015,Male,Yes,0,Graduate,No,5720,0,110.0,360.0,1.0,Urban,5720,Y,615,0.01922740779583989,19.227407795839888,Medium,0.43
LP001022,Male,Yes,1,Graduate,No,3076,1500,126.0,360.0,1.0,Urban,4576,Y,608,0.02752894909329255,27.52894909329255,Medium,0.44
LP001031,Male,Yes,2,Graduate,No,5000,1800,208.0,360.0,1.0,Urban,6800,Y,613,0.030583737685634466,30.583737685634464,Medium,0.43
LP001035,Male,Yes,2,Graduate,No,2340,2546,100.0,360.0,,Urban,4886,Y,456,0.02046245140167792,20.46245140167792,High,0.72
LP001051,Male,No,0,Not Graduate,No,3276,0,78.0,360.0,1.0,Urban,3276,Y,609,0.02380225816295392,23.802258162953922,Medium,0.44
LP001054,Male,Yes,0,Not Graduate,Yes,2165,3422,152.0,360.0,1.0,Urban,5587,Y,605,0.02720114531138153,27.20114531138153,Medium,0.45
LP001055,Female,No,1,Not Graduate,No,2226,0,59.0,360.0,1.0,Semiurban,2226,Y,606,0.026493039964077234,26.493039964077234,Medium,0.44
LP001056,Male,Yes,2,Not Graduate,No,3881,0,147.0,360.0,0.0,Rural,3881,N,460,0.03786707882534776,37.86707882534776,High,0.71
LP001059,Male,Yes,2,Graduate,,13633,0,280.0,240.0,1.0,Urban,13633,Y,637,0.020536893061463987,20.53689306146399,Medium,0.39
LP001067,Male,No,0,Not Graduate,No,2400,2400,123.0,360.0,1.0,Semiurban,4800,Y,606,0.025619662570297855,25.619662570297855,Medium,0.44
LP001078,Male,No,0,Not Graduate,No,3091,0,90.0,360.0,1.0,Urban,3091,Y,608,0.02910737386804657,29.107373868046572,Medium,0.44
LP001082,Male,Yes,1,Graduate,,2185,1516,162.0,360.0,1.0,Semiurban,3701,Y,606,0.04376012965964344,43.76012965964344,Medium,0.44
LP001083,Male,No,3+,Graduate,No,4166,0,40.0,180.0,,Urban,4166,Y,461,0.009599232061435085,9.599232061435085,High,0.71
LP001094,Male,Yes,2,Graduate,,12173,0,166.0,360.0,0.0,Semiurban,12173,N,483,0.013635616888450797,13.635616888450796,High,0.67
LP001096,Female,No,0,Graduate,No,4666,0,124.0,360.0,1.0,Semiurban,4666,Y,612,0.02656953074780373,26.56953074780373,Medium,0.43
LP001099,Male,No,1,Graduate,No,5667,0,131.0,360.0,1.0,Urban,5667,Y,615,0.023112208892025407,23.112208892025407,Medium,0.43
LP001105,Male,Yes,2,Graduate,No,4583,2916,200.0,360.0,1.0,Urban,7499,Y,612,0.02666666666666667,26.666666666666668,Medium,0.43
LP001107,Male,Yes,3+,Graduate,No,3786,333,126.0,360.0,1.0,Semiurban,4119,Y,610,0.03058252427184466,30.58252427184466,Medium,0.44
LP001108,Male,Yes,0,Graduate,No,9226,7916,300.0,360.0,1.0,Urban,17142,Y,625,0.017499854167881933,17.499854167881935,Medium,0.41
LP001115,Male,No,0,Graduate,No,1300,3470,100.0,180.0,1.0,Semiurban,4770,Y,603,0.020959966464053657,20.959966464053657,Medium,0.45
LP001121,Male,Yes,1,Not Graduate,No,1888,1620,48.0,360.0,1.0,Urban,3508,Y,605,0.013679110857794243,13.679110857794244,Medium,0.45
LP001124,Female,No,3+,Not Graduate,No,2083,0,28.0,180.0,1.0,Urban,2083,Y,605,0.013435700575815739,13.435700575815739,Medium,0.45
LP001128,,No,0,Graduate,No,3909,0,101.0,360.0,1.0,Urban,3909,Y,610,0.025831202046035805,25.831202046035806,Medium,0.44
LP001135,Female,No,0,Not Graduate,No,3765,0,125.0,360.0,1.0,Urban,3765,Y,610,0.03319171534784918,33.191715347849176,Medium,0.44
LP001149,Male,Yes,0,Graduate,No,5400,4380,290.0,360.0,1.0,Urban,9780,Y,614,0.029649320110418157,29.64932011041816,Medium,0.43
LP001153,Male,No,0,Graduate,No,0,24000,148.0,360.0,0.0,Rural,24000,N,450,0.006166409732927794,6.166409732927795,High,0.73
LP001163,Male,Yes,2,Graduate,No,4363,1250,140.0,360.0,,Urban,5613,Y,462,0.02493765586034913,24.93765586034913,High,0.71
LP001169,Male,Yes,0,Graduate,No,7500,3750,275.0,360.0,1.0,Urban,11250,Y,620,0.024442271798062395,24.442271798062393,Medium,0.42
LP001174,Male,Yes,0,Graduate,No,3772,833,57.0,360.0,,Semiurban,4605,Y,460,0.012375162831089883,12.375162831089883,High,0.71
LP001176,Male,No,0,Graduate,No,2942,2382,125.0,180.0,1.0,Urban,5324,Y,608,0.023474178403755867,23.474178403755868,Medium,0.44
LP001177,Female,No,0,Not Graduate,No,2478,0,75.0,360.0,1.0,Semiurban,2478,Y,606,0.030254134731746672,30.25413473174667,Medium,0.44
LP001183,Male,Yes,2,Graduate,No,6250,820,192.0,360.0,1.0,Urban,7070,Y,617,0.027153160797624098,27.1531607976241,Medium,0.42
LP001185,Male,No,0,Graduate,No,3268,1683,152.0,360.0,1.0,Semiurban,4951,Y,609,0.030694668820678513,30.694668820678515,Medium,0.44
LP001187,Male,Yes,0,Graduate,No,2783,2708,158.0,360.0,1.0,Urban,5491,Y,607,0.02876911871813547,28.76911871813547,Medium,0.44
LP001190,Male,Yes,0,Graduate,No,2740,1541,101.0,360.0,1.0,Urban,4281,Y,607,0.02358710882765063,23.58710882765063,Medium,0.44
LP001203,Male,No,0,Graduate,No,3150,0,176.0,360.0,0.0,Semiurban,3150,N,458,0.05585528403681371,55.85528403681371,High,0.71
LP001208,Male,Yes,2,Graduate,,7350,4029,185.0,180.0,1.0,Urban,11379,Y,620,0.01625659050966608,16.25659050966608,Medium,0.42
LP001210,Male,Yes,0,Graduate,Yes,2267,2792,90.0,360.0,1.0,Urban,5059,Y,606,0.017786561264822136,17.786561264822133,Medium,0.44
LP001211,Male,No,0,Graduate,Yes,5833,0,116.0,360.0,1.0,Urban,5833,Y,616,0.01988344189235516,19.883441892355158,Medium,0.43
LP001219,Male,No,0,Graduate,No,3643,1963,138.0,360.0,1.0,Urban,5606,Y,610,0.024612092027822365,24.612092027822364,Medium,0.44
LP001220,Male,Yes,0,Graduate,No,5629,818,100.0,360.0,1.0,Urban,6447,Y,615,0.015508684863523574,15.508684863523573,Medium,0.43
LP001221,Female,No,0,Graduate,No,3644,0,110.0,360.0,1.0,Urban,3644,Y,610,0.03017832647462277,30.17832647462277,Medium,0.44
LP001226,Male,Yes,0,Not Graduate,No,1750,2024,90.0,360.0,1.0,Semiurban,3774,Y,604,0.02384105960264901,23.841059602649008,Medium,0.45
LP001230,Male,No,0,Graduate,No,6500,2600,200.0,360.0,1.0,Semiurban,9100,Y,617,0.02197560707614548,21.97560707614548,Medium,0.42
LP001231,Female,No,0,Graduate,No,3666,0,84.0,360.0,1.0,Urban,3666,Y,610,0.02290700845377693,22.90700845377693,Medium,0.44
LP001232,Male,Yes,0,Graduate,No,4260,3900,185.0,,,Urban,8160,Y,461,0.022668790589388556,22.668790589388557,High,0.71
LP001237,Male,Yes,,Not Graduate,No,4163,1475,162.0,360.0,1.0,Urban,5638,Y,611,0.028728497960631316,28.72849796063132,Medium,0.43
LP001242,Male,No,0,Not Graduate,No,2356,1902,108.0,360.0,1.0,Semiurban,4258,Y,606,0.02535806527353839,25.35806527353839,Medium,0.44
LP001268,Male,No,0,Graduate,No,6792,3338,187.0,,1.0,Urban,10130,Y,618,0.018458197611292075,18.458197611292075,Medium,0.42
LP001270,Male,Yes,3+,Not Graduate,Yes,8000,250,187.0,360.0,1.0,Semiurban,8250,Y,622,0.02266391952490607,22.66391952490607,Medium,0.41
LP001284,Male,Yes,1,Graduate,No,2419,1707,124.0,360.0,1.0,Urban,4126,Y,606,0.030046038284468137,30.046038284468136,Medium,0.44
LP001287,,Yes,3+,Not Graduate,No,3500,833,120.0,360.0,1.0,Semiurban,4333,Y,609,0.02768804799261652,27.68804799261652,Medium,0.44
LP001291,Male,Yes,1,Graduate,No,3500,3077,160.0,360.0,1.0,Semiurban,6577,Y,609,0.024323502584372148,24.32350258437215,Medium,0.44
LP001298,Male,Yes,2,Graduate,No,4116,1000,30.0,180.0,1.0,Urban,5116,Y,611,0.00586281024037522,5.86281024037522,Medium,0.43
LP001312,Male,Yes,0,Not Graduate,Yes,5293,0,92.0,360.0,1.0,Urban,5293,Y,614,0.017378163959199094,17.378163959199092,Medium,0.43
LP001313,Male,No,0,Graduate,No,2750,0,130.0,360.0,0.0,Urban,2750,N,457,0.04725554343874955,47.25554343874955,High,0.71
LP001317,Female,No,0,Not Graduate,No,4402,0,130.0,360.0,1.0,Rural,4402,Y,612,0.0295253236429707,29.5253236429707,Medium,0.43
LP001321,Male,Yes,2,Graduate,No,3613,3539,134.0,180.0,1.0,Semiurban,7152,Y,609,0.018733398574024885,18.733398574024886,Medium,0.44
LP001323,Female,Yes,2,Graduate,No,2779,3664,176.0,360.0,0.0,Semiurban,6443,N,457,0.027312228429546864,27.312228429546867,High,0.71
LP001324,Male,Yes,3+,Graduate,No,4720,0,90.0,180.0,1.0,Semiurban,4720,Y,613,0.019063757678457954,19.063757678457954,Medium,0.43
LP001332,Male,Yes,0,Not Graduate,No,2415,1721,110.0,360.0,1.0,Semiurban,4136,Y,606,0.02658931592941745,26.589315929417452,Medium,0.44
LP001335,Male,Yes,0,Graduate,Yes,7016,292,125.0,360.0,1.0,Urban,7308,Y,619,0.017102202763715966,17.102202763715965,Medium,0.42
LP001338,Female,No,2,Graduate,No,4968,0,189.0,360.0,1.0,Semiurban,4968,Y,613,0.03803582209700141,38.03582209700141,Medium,0.43
LP001347,Female,No,0,Graduate,No,2101,1500,108.0,360.0,0.0,Rural,3601,N,455,0.029983342587451417,29.983342587451414,High,0.72
LP001348,Male,Yes,3+,Not Graduate,No,4490,0,125.0,360.0,1.0,Urban,4490,Y,612,0.027833444667112003,27.833444667112,Medium,0.43
LP001351,Male,Yes,0,Graduate,No,2917,3583,138.0,360.0,1.0,Semiurban,6500,Y,608,0.021227503461006,21.227503461006,Medium,0.44
LP001352,Male,Yes,0,Not Graduate,No,4700,0,135.0,360.0,0.0,Semiurban,4700,N,462,0.02871729419272495,28.717294192724953,High,0.71
LP001358,Male,Yes,0,Graduate,No,3445,0,130.0,360.0,0.0,Semiurban,3445,N,459,0.03772489843296576,37.72489843296576,High,0.71
LP001359,Male,Yes,0,Graduate,No,7666,0,187.0,360.0,1.0,Semiurban,7666,Y,621,0.024390243902439025,24.390243902439025,Medium,0.42
LP001361,Male,Yes,0,Graduate,No,2458,5105,188.0,360.0,0.0,Rural,7563,N,456,0.024854574299312534,24.85457429931253,High,0.72
LP001366,Female,No,,Graduate,No,3250,0,95.0,360.0,1.0,Semiurban,3250,Y,608,0.02922177791448785,29.22177791448785,Medium,0.44
LP001368,Male,No,0,Graduate,No,4463,0,65.0,360.0,1.0,Semiurban,4463,Y,612,0.014560931899641577,14.560931899641577,Medium,0.43
LP001375,Male,Yes,1,Graduate,,4083,1775,139.0,60.0,1.0,Urban,5858,Y,611,0.023724185014507595,23.724185014507594,Medium,0.43
LP001380,Male,Yes,0,Graduate,Yes,3900,2094,232.0,360.0,1.0,Rural,5994,Y,610,0.038698915763135944,38.69891576313594,Medium,0.44
LP001386,Male,Yes,0,Not Graduate,No,4750,3583,144.0,360.0,1.0,Semiurban,8333,Y,613,0.017278617710583154,17.278617710583152,Medium,0.43
LP001400,Male,No,0,Graduate,No,3583,3435,155.0,360.0,1.0,Urban,7018,Y,609,0.02208291779455763,22.08291779455763,Medium,0.44
LP001407,Male,Yes,0,Graduate,No,3189,2367,186.0,360.0,1.0,Urban,5556,Y,608,0.033471297462659706,33.471297462659706,Medium,0.44
LP001413,Male,No,0,Graduate,Yes,6356,0,50.0,360.0,1.0,Rural,6356,Y,617,0.007865345288658171,7.8653452886581725,Medium,0.42
LP001415,Male,Yes,1,Graduate,No,3413,4053,,360.0,1.0,Semiurban,7466,Y,609,,,Medium,0.44
LP001419,Female,Yes,0,Graduate,No,7950,0,185.0,360.0,1.0,Urban,7950,Y,621,0.02326751352031191,23.267513520311912,Medium,0.42
LP001420,Male,Yes,3+,Graduate,No,3829,1103,163.0,360.0,0.0,Urban,4932,N,460,0.03304277316034867,33.04277316034867,High,0.71
LP001428,Male,Yes,3+,Graduate,No,72529,0,360.0,360.0,1.0,Urban,72529,Y,800,0.004963463394457466,4.963463394457466,Low,0.09
LP001445,Male,Yes,2,Not Graduate,No,4136,0,149.0,480.0,0.0,Rural,4136,N,461,0.03601643703166546,36.01643703166546,High,0.71
LP001446,Male,Yes,0,Graduate,No,8449,0,257.0,360.0,1.0,Rural,8449,Y,623,0.030414201183431952,30.414201183431953,Medium,0.41
LP001450,Male,Yes,0,Graduate,No,4456,0,131.0,180.0,0.0,Semiurban,4456,N,462,0.029391967691272156,29.391967691272157,High,0.71
LP001452,Male,Yes,2,Graduate,No,4635,8000,102.0,180.0,1.0,Rural,12635,Y,612,0.008072174738841406,8.072174738841406,Medium,0.43
LP001455,Male,Yes,0,Graduate,No,3571,1917,135.0,360.0,1.0,Urban,5488,Y,609,0.024594643833120787,24.594643833120788,Medium,0.44
LP001466,Male,No,0,Graduate,No,3066,0,95.0,360.0,1.0,Semiurban,3066,Y,608,0.030974894033257254,30.974894033257254,Medium,0.44
LP001471,Male,No,2,Not Graduate,No,3235,2015,77.0,360.0,1.0,Semiurban,5250,Y,608,0.01466387354789564,14.663873547895639,Medium,0.44
LP001472,Female,No,0,Graduate,,5058,0,200.0,360.0,1.0,Rural,5058,Y,613,0.0395335046451868,39.533504645186795,Medium,0.43
LP001475,Male,Yes,0,Graduate,Yes,3188,2286,130.0,360.0,,Rural,5474,Y,458,0.023744292237442923,23.744292237442924,High,0.71
LP001483,Male,Yes,3+,Graduate,No,13518,0,390.0,360.0,1.0,Rural,13518,Y,637,0.028848287595236333,28.848287595236336,Medium,0.39
LP001486,Male,Yes,1,Graduate,No,4364,2500,185.0,360.0,1.0,Semiurban,6864,Y,612,0.026948288419519302,26.9482884195193,Medium,0.43
LP001490,Male,Yes,2,Not Graduate,No,4766,1646,100.0,360.0,1.0,Semiurban,6412,Y,613,0.01559332605644784,15.59332605644784,Medium,0.43
LP001496,Male,Yes,1,Graduate,No,4609,2333,123.0,360.0,0.0,Semiurban,6942,N,462,0.01771568486245139,17.71568486245139,High,0.71
LP001499,Female,Yes,3+,Graduate,No,6260,0,110.0,360.0,1.0,Semiurban,6260,Y,617,0.01756907842197732,17.56907842197732,Medium,0.42
LP001500,Male,Yes,1,Graduate,No,3333,4200,256.0,360.0,1.0,Urban,7533,Y,609,0.03397929386779931,33.979293867799306,Medium,0.44
LP001501,Male,Yes,0,Graduate,No,3500,3250,140.0,360.0,1.0,Semiurban,6750,Y,609,0.02073766849355651,20.73766849355651,Medium,0.44
LP001517,Male,Yes,3+,Graduate,No,9719,0,61.0,360.0,1.0,Urban,9719,Y,626,0.006275720164609053,6.275720164609053,Medium,0.41
LP001527,Male,Yes,3+,Graduate,No,6835,0,188.0,360.0,,Semiurban,6835,Y,468,0.027501462843768285,27.501462843768287,High,0.69
LP001534,Male,No,0,Graduate,No,4452,0,131.0,360.0,1.0,Rural,4452,Y,612,0.02941836963844599,29.41836963844599,Medium,0.43
LP001542,Female,Yes,0,Graduate,No,2262,0,,480.0,0.0,Semiurban,2262,N,456,,,High,0.72
LP001547,Male,Yes,1,Graduate,No,3901,0,116.0,360.0,1.0,Urban,3901,Y,610,0.02972834443874936,29.72834443874936,Medium,0.44
LP001548,Male,Yes,2,Not Graduate,No,2687,0,50.0,180.0,1.0,Rural,2687,Y,607,0.018601190476190476,18.601190476190474,Medium,0.44
LP001558,Male,No,0,Graduate,No,2243,2233,107.0,360.0,,Semiurban,4476,Y,456,0.02389993299084208,23.899932990842082,High,0.72
LP001561,Female,Yes,0,Graduate,No,3417,1287,200.0,360.0,1.0,Semiurban,4704,Y,609,0.04250797024442083,42.50797024442083,Medium,0.44
LP001563,,No,0,Graduate,No,1596,1760,119.0,360.0,0.0,Urban,3356,N,454,0.03544831694965743,35.44831694965743,High,0.72
LP001567,Male,Yes,3+,Graduate,No,4513,0,120.0,360.0,1.0,Rural,4513,Y,612,0.02658396101019052,26.583961010190517,Medium,0.43
LP001568,Male,Yes,0,Graduate,No,4500,0,140.0,360.0,1.0,Semiurban,4500,Y,612,0.03110419906687403,31.104199066874028,Medium,0.43
LP001573,Male,Yes,0,Not Graduate,No,4523,1350,165.0,360.0,1.0,Urban,5873,Y,612,0.028089887640449437,28.089887640449437,Medium,0.43
LP001584,Female,No,0,Graduate,Yes,4742,0,108.0,360.0,1.0,Semiurban,4742,Y,613,0.022770398481973434,22.770398481973434,Medium,0.43
LP001587,Male,Yes,,Graduate,No,4082,0,93.0,360.0,1.0,Semiurban,4082,Y,611,0.022777369581190303,22.7773695811903,Medium,0.43
LP001589,Female,No,0,Graduate,No,3417,0,102.0,360.0,1.0,Urban,3417,Y,609,0.02984201287302516,29.842012873025162,Medium,0.44
LP001591,Female,Yes,2,Graduate,No,2922,3396,122.0,360.0,1.0,Semiurban,6318,Y,608,0.019306852350055387,19.30685235005539,Medium,0.44
LP001599,Male,Yes,0,Graduate,No,4167,4754,160.0,360.0,1.0,Rural,8921,Y,611,0.017933198834342075,17.933198834342075,Medium,0.43
LP001601,Male,No,3+,Graduate,No,4243,4123,157.0,360.0,,Semiurban,8366,Y,461,0.018764192661646948,18.764192661646945,High,0.71
LP001607,Female,No,0,Not Graduate,No,0,1760,180.0,360.0,1.0,Semiurban,1760,Y,600,0.10221465076660988,102.21465076660988,High,0.45
LP001611,Male,Yes,1,Graduate,No,1516,2900,80.0,,0.0,Rural,4416,N,454,0.01811184061580258,18.11184061580258,High,0.72
LP001613,Female,No,0,Graduate,No,1762,2666,104.0,360.0,0.0,Urban,4428,N,454,0.023481598554978552,23.48159855497855,High,0.72
LP001622,Male,Yes,2,Graduate,No,724,3510,213.0,360.0,0.0,Rural,4234,N,451,0.050295159386068475,50.29515938606848,High,0.73
LP001627,Male,No,0,Graduate,No,3125,0,65.0,360.0,1.0,Urban,3125,Y,608,0.020793346129238645,20.793346129238643,Medium,0.44
